GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
biblioteca-teste,com.biblioteca,Book,0,43,0,0,0,18,0,9,0,9
biblioteca-teste,com.biblioteca,Library,3,182,3,13,3,35,3,12,0,7
